"Symbol","baseMean","log2FoldChange","lfcSE","pvalue","qvalue","Status"
"SRRD",256.694138292581,-0.46970638373491,0.2123498735474,0.0126611282357397,0.0456339274427577,"Downregulated"
"SRRT",2698.36839941676,0.422628039969799,0.142868820892197,0.0019136701467275,0.0103799167102846,"Upregulated"
"SRSF10P1",28.9891516510885,1.59898476510043,0.501202365708335,8.81889178067841e-05,0.000845477283152659,"Upregulated"
"SRSF2",1804.02480743354,0.40874614477709,0.126424688231746,0.000641875150964334,0.00427908432351096,"Upregulated"
"SRSF9",1072.37276185961,0.467670429066624,0.0956677805909017,5.35921388483179e-07,1.23435029893844e-05,"Upregulated"
"SS18L1",339.072615258022,-0.778729431179506,0.220993156237431,9.68272925437408e-05,0.000914967121646071,"Downregulated"
"SSBP2",1280.3398003419,-0.586546903203942,0.209188532509812,0.0016770209673791,0.00935730675407841,"Downregulated"
"SSBP4",336.261301259061,0.582603939380064,0.155938741363066,6.59874330850868e-05,0.000666613307193088,"Upregulated"
"SSFA2",2664.43449765325,0.622344931583008,0.139388622654307,2.32901378231921e-06,4.19100030040259e-05,"Upregulated"
"SSPN",19.2359761538418,-2.34139547776321,0.83608767630556,0.000219577597229654,0.00180568544997168,"Downregulated"
"SSPO",74.3151002555566,-0.872317315105478,0.567845514187315,0.0139591626703101,0.0492441044685665,"Downregulated"
"SSR4",489.211490779176,0.482342494865703,0.18297286553703,0.00395421992770446,0.0183036423107402,"Upregulated"
"SSRP1",3272.29086595507,0.472524316138216,0.148972824377293,0.000814959575742191,0.00519032497941054,"Upregulated"
"SSSCA1",169.608696898856,0.661947759695113,0.225501951949205,0.000939172201810245,0.00582109883722518,"Upregulated"
"SSTR2",40.035516326122,3.91243111016692,0.795511455669454,2.89206813667904e-08,1.07125458924217e-06,"Upregulated"
"ST3GAL3",345.576626085562,-0.503978702233887,0.165446022001241,0.00108595319840894,0.00653672778205139,"Downregulated"
"ST3GAL4-AS1",35.1692086586016,-1.41751230367551,0.578760646085165,0.000983519715672416,0.00604126808840706,"Downregulated"
"ST3GAL5",345.851544256186,0.827469289980639,0.364809976447242,0.00404381012858079,0.0186234887972627,"Upregulated"
"ST6GAL1",1016.14617956713,-1.33730512342594,0.207570678974163,1.31503524444117e-11,1.55201366469805e-09,"Downregulated"
"ST6GAL2",352.253454369734,-5.00173575492289,1.12467993440165,3.61714584746296e-07,9.12982549965099e-06,"Downregulated"
"ST6GALNAC6",308.49446450585,0.697488577106835,0.187132040682918,5.2409879518117e-05,0.000551593030869333,"Upregulated"
"ST7L",220.689440461998,-0.849659646896101,0.205227934781543,7.24636631331415e-06,0.000107832231930213,"Downregulated"
"STAC",92.4009151839508,-3.24417412066527,0.64511384573058,2.57430416739555e-08,9.7035390345022e-07,"Downregulated"
"STAG1",1342.22845877203,-0.390748069977261,0.107458565529499,0.00016945040536159,0.00146012325627034,"Downregulated"
"STAM2",428.335461746288,-0.699420524577451,0.144964098472768,4.07820014916829e-07,1.00852946752481e-05,"Downregulated"
"STAMBPL1",167.539557424584,-0.801021512629939,0.321091786163438,0.00236714870445886,0.0122940867312305,"Downregulated"
